case,array,shape,dtype,array_sha256,finite,source_snapshot_sha256,public_file
M8,jhat_phys,196x196,float64,5CF88DD1C64D99E2B9C682FB054D5A2B397F86C3283E5FB4A6AEA86971A358D0,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,jhat_reg,196x196,float64,ED0FAC66C6141662006468F9FAA4982B122CC0F70DF6C2175579E122B65F3C1E,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,rhs_hat,196,float64,8D12206F637D66992F5D94DDD8163681D3DC918065AF93A96F58F95BE5BA9623,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,z_phys,196,float64,85AC3E8C2F6FF492266914691F1E23FCB3D9872F6F51B5565745E5130BBEB18C,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,z_reg,196,float64,513A75FF6B907E02BEBA1933CE9132E051E2ABB3E111C5E9FA9A9D90D952514F,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,free_dofs,196,int64,DCBC69485A98F7D77E6DD1DCFE4081CF9EAFD1DC6381BB54B4EFFEE6E9681E9E,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,row_scale,196,float64,41D4581030DEE10F9248CDE407FE2F955451168CE872DB23ACA277EC61BCA218,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M8,x_scale,196,float64,E363C73010A7FA62F12DEE6EF296B42400939B35C58429C5958FD34691A84644,True,ACF00D823AAE8BC073F14ECFA322AED1B004CBBA85D5FA83416FEC4D24D87482,M8_operands_binary64.npz
M16,jhat_phys,900x900,float64,BB898303B7142B5398C0DDE9F45585CEEBB88A02773CDCA1253C20B7F5C6E0CA,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,jhat_reg,900x900,float64,7007A33CDBFB74E7FEC89BA912B7E3A63A6F26160876886D673FDD2E63B5BA62,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,rhs_hat,900,float64,58BAF6A405F5D156466FFD43B62FC2DFEA77FFE175FF1501F147E9023C141CA5,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,z_phys,900,float64,B0A2462A3D4B0C6D1180CB2B05511DC518B5336CE84B668F7AE93AA0240CA378,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,z_reg,900,float64,2FC0BB980F706843BE47445016E573AEC9AFB5D5B8AF1ED812047CEC25D65BFE,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,free_dofs,900,int64,75B1CCBD7D2A7B1E777A7DA3E46DD30F0EC5F601A94DBFB1021EEC9A440FF9CE,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,row_scale,900,float64,42CCA8B6711EE45BC938D327F4370B627DF2A3E71C3101F64A7E52E248597450,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
M16,x_scale,900,float64,EF88077CC4983C9EB0298213A889B14551F560FC2F81745D40FFA4796DF727B5,True,22A51CA5BB4403D1EB9499F4588D6EF19CE7D6C3636429D5EE2FCA6AE3AB207E,M16_operands_binary64.npz
