example_id,lane_id,epsilon,J,DeltaJ,b,mu_J,rho_1,rho_g,eta_z,eta_exact,eta_absolute_error
P2_EXAMPLE_A,A_ALIGNED,1e-12,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.000000000001"",""0.0""],[""0.0"",""0.0""]]","[""1.0"", ""0.0""]",0.000000000001,0.000000000001,9.99999999999000000000000999999999999e-13,9.99999999999000000000000999999999999e-13,9.99999999999000000000000999999999999e-13,0.0
P2_EXAMPLE_A,B_ORTHOGONAL,1e-12,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0"",""0.0""],[""0.0"",""0.000000000001""]]","[""1.0"", ""0.0""]",0.000000000001,0.000000000001,9.99999999999000000000000999999999999e-13,0.0,0.0,0.0
P2_EXAMPLE_A,A_ALIGNED,1e-10,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0000000001"",""0.0""],[""0.0"",""0.0""]]","[""1.0"", ""0.0""]",0.0000000001,0.0000000001,0.00000000009999999999000000000099999999990000000001,0.00000000009999999999000000000099999999990000000001,0.00000000009999999999000000000099999999990000000001,0.0
P2_EXAMPLE_A,B_ORTHOGONAL,1e-10,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0"",""0.0""],[""0.0"",""0.0000000001""]]","[""1.0"", ""0.0""]",0.0000000001,0.0000000001,0.00000000009999999999000000000099999999990000000001,0.0,0.0,0.0
P2_EXAMPLE_A,A_ALIGNED,1e-8,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.00000001"",""0.0""],[""0.0"",""0.0""]]","[""1.0"", ""0.0""]",0.00000001,0.00000001,0.000000009999999900000000999999990000000099999999,0.000000009999999900000000999999990000000099999999,0.000000009999999900000000999999990000000099999999,0.0
P2_EXAMPLE_A,B_ORTHOGONAL,1e-8,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0"",""0.0""],[""0.0"",""0.00000001""]]","[""1.0"", ""0.0""]",0.00000001,0.00000001,0.000000009999999900000000999999990000000099999999,0.0,0.0,0.0
P2_EXAMPLE_A,A_ALIGNED,1e-6,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.000001"",""0.0""],[""0.0"",""0.0""]]","[""1.0"", ""0.0""]",0.000001,0.000001,0.000000999999000000999999000000999999000001,0.000000999999000000999999000000999999000001,0.000000999999000000999999000000999999000001,0.0
P2_EXAMPLE_A,B_ORTHOGONAL,1e-6,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0"",""0.0""],[""0.0"",""0.000001""]]","[""1.0"", ""0.0""]",0.000001,0.000001,0.000000999999000000999999000000999999000001,0.0,0.0,0.0
P2_EXAMPLE_A,A_ALIGNED,1e-4,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0001"",""0.0""],[""0.0"",""0.0""]]","[""1.0"", ""0.0""]",0.0001,0.0001,0.00009999000099990000999900009999000099990001,0.00009999000099990000999900009999000099990001,0.00009999000099990000999900009999000099990001,8.720301752336692674375790010874488521209e-106
P2_EXAMPLE_A,B_ORTHOGONAL,1e-4,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0"",""0.0""],[""0.0"",""0.0001""]]","[""1.0"", ""0.0""]",0.0001,0.0001,0.00009999000099990000999900009999000099990001,0.0,0.0,0.0
P2_EXAMPLE_A,A_ALIGNED,1e-2,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.01"",""0.0""],[""0.0"",""0.0""]]","[""1.0"", ""0.0""]",0.01,0.01,0.009900990099009900990099009900990099009901,0.009900990099009900990099009900990099009901,0.009900990099009900990099009900990099009901,0.0
P2_EXAMPLE_A,B_ORTHOGONAL,1e-2,"[[""1.0"",""0.0""],[""0.0"",""1.0""]]","[[""0.0"",""0.0""],[""0.0"",""0.01""]]","[""1.0"", ""0.0""]",0.01,0.01,0.009900990099009900990099009900990099009901,0.0,0.0,0.0
