dataset,system_id,lane,family,dimension,condition_exponent,epsilon,seed,U_absolute,reference_error_absolute,reference_response_relative,U_relative_to_parent,I_eff,I_eff_status,R_U,R_U_status,coverage,undercoverage
development,SPD_D02_C02_E1eM16,decimal-source,SPD,2,2,1e-16,3342380807748623415,0.0000000000000142858993373609638123064406209338294851878313,9.69950952865126965308886292130440945599273733e-17,5.55603150570407635296283067143240613670428446e-15,0.000000000000013207318609479995524052516098088846908418433,147.2847600712387574484139407926414810913739809945262808133997210868064389030139460317202919055186602,FINITE,2.377113699935062909551348267248851720578221451450009275921182417944833530301252740879636835397391529,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM16,binary64-operand,SPD,2,2,1e-16,3342380807748623415,9.83149331365573213101321331160511299347549594e-15,4.2068757520471137708146758270533882574778792e-17,5.58106121514936859929146892445141113629826908e-15,9.0892187837864377140009683359867078856356315e-15,233.7005866853000172040676006701930207116794470476180676915642034024496870141982244669904990829950072,FINITE,1.628582528196329526002829087383802708839232243447117991939021436783243746108227341016472954449972720,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM15,decimal-source,SPD,2,2,1e-15,9477031891702027615,8.0988438866131601625418393733786416625525351e-15,8.01507662024878563925037811268917522366625307e-17,0.0000000000000706428346685210673261871095287044842754497475,6.36305270221708883592110500309183845406296107e-15,101.0451212175907360420134924779124825120022270570382295061052359122718620490598160063991423874801021,FINITE,0.09007357550237871265449214202233040564932136094881962423857090751102028939590757358399210262811929260,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM15,binary64-operand,SPD,2,2,1e-15,9477031891702027615,2.39538098305684793226382705444566938720697439e-15,1.02143101320297922257721390368765707439140688e-16,0.0000000000000705792723860696828669431794043647336106541148,1.88198904071643948767385469200437963008121737e-15,23.45122629031469170962784778179769979055975813099820532153240102923577419021156469134145953088552238,FINITE,0.02666489717295371213848685365256065571162300411404582858714116300318311162380564164656701298711558287,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM14,decimal-source,SPD,2,2,1e-14,17708006654096734107,1.07338803285524051634480411520921629769604565e-15,2.3787067094263826016687685208070392497231238e-16,0.000000000000992153873021666332774833971092349647162990553,1.3313739976643232368258203836943539173418916e-15,4.512485833590155192910926093012645550007896541116176594098008520998274462854819218240015008040894918,FINITE,0.001341902736930856213647029693598128527845567316541475554532635941509668404048252043308488899645583283,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM14,binary64-operand,SPD,2,2,1e-14,17708006654096734107,1.12736945310199600737853835961428832810810374e-15,1.83403875362008151039486419216321123083121289e-16,0.000000000000992221530041776594871430686047049357035158351,1.3983297089948715719674522769504554047689091e-15,6.146922745644059427017935874476833878854197836302533902748450279003329510211138848864248214258329365,FINITE,0.001409291843260039073709644085561562979218990250710740461398139289487217030945005727646521585459447720,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM12,decimal-source,SPD,2,2,1e-12,345687911206730511,0.0000000000000109283900127936427491405986829927556490446707,9.3696174955994162879003728814237738030387035e-17,0.0000000000800628882836589687873408807514742831648025349,0.0000000000000109283900127936427491405986829927556490446707,116.6364584031987190512485524971655023804491213090641248197124934407965725915693387344143988886065470,FINITE,0.0001364975739330672369114754529610708693226112510406231587427523528554123692136270536108655692170943058,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM12,binary64-operand,SPD,2,2,1e-12,345687911206730511,3.87167244092460110150294106470982169560941208e-15,3.13768849361277441771117562258204137034268543e-17,0.0000000000800629284444983662248336182411102917723162289,3.87167244092460111271617529555943978806030404e-15,123.3925053046520955457743616912637196713343876975405664054648123727266070698787447447698943669951470,FINITE,0.00004835786694473137756921894564618502943766526423528512785998351176634908789831858424941559754421298967,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM8,decimal-source,SPD,2,2,1e-8,5092521022903664587,1.94821556865232470827869033613686110471112803e-15,1.74671053786661555087399599741992398006489608e-17,0.000000970390006853491609254387806179342307258984506,2.36255840324303222745140521519231591711643706e-15,111.5362578067355045252474524717015093318006195681409266499858220085960614564170870743147611779978826,FINITE,2.434648323413463011214020532356875649465472602410873271518208577039749827717495818098697959315129350E-9,FINITE,TRUE,FALSE
development,SPD_D02_C02_E1eM8,binary64-operand,SPD,2,2,1e-8,5092521022903664587,7.88570807482552378548837752952487544610644056e-16,3.95033293709363910642825666492306782982304033e-18,0.000000970390006846204628340945836810038332430132238,9.56282568390933146044789611005871984448903513e-16,199.6213534504572856937748643115986809771198813625183953321908010090882445960976954209707993463924842,FINITE,9.854620942551530779383538552597131945908322312371807290840642227494324431334500527303977142720180546E-10,FINITE,TRUE,FALSE
