dataset,system_id,family,dimension,condition_exponent,epsilon,seed,U_legacy,U_source_z,U_source_zg,U_binary_z,U_binary_zg,U_sub,U_source_r1,U_binary_r1,error_source_direct,error_binary_direct,error_source_z,error_source_zg,error_binary_z,error_binary_zg,error_subtraction,source_drift_z,source_drift_zg,arithmetic_error_z,arithmetic_error_zg,source_coverage,binary_coverage,source_severe_undercoverage,binary_severe_undercoverage,source_parent_z_coverage,source_parent_zg_coverage,binary_parent_z_coverage,binary_parent_zg_coverage,subtraction_coverage,eta_source_reference,eta_binary_reference,relative_U_source_r1,relative_U_binary_r1,source_reference_label,binary_reference_label,maximum_reference_relative_residual,finite
development,SPD_D02_C02_E1eM16,SPD,2,2,1e-16,3342380807748623415,4.850917086975636e-15,2.22291410060563913688423348202041727296947315e-15,0.0000000000000118228072742061217471309046787722039420835288,4.49618984864292887130177049237668531081919171e-15,5.09512550246360033142014035908721941252147482e-15,2.40177962549202928291302460141208270134829418e-16,0.0000000000000142858993373609638123064406209338294851878313,9.83149331365573213101321331160511299347549594e-15,9.69950952865126965308886292130440945599273733e-17,4.2068757520471137708146758270533882574778792e-17,3.14018491736755011878676474392712698284684664e-17,1.18512151483326519675872352002817957050638151e-16,9.22896707613867360067667948475631772216047261e-17,6.41380080617894376715435441700411939441731292e-17,0.0,6.26843847939564811832359538338844806153822802e-17,7.3937374918553301559546857927284536895203741e-17,9.22896707613867360067667948475631772216047261e-17,6.41380080617894376715435441700411939441731292e-17,True,True,False,False,True,True,True,True,True,5.55603150570407635296283067143240613670428446e-15,5.58106121514936859929146892445141113629826908e-15,0.000000000000013207318609479995524052516098088846908418433,9.0892187837864377140009683359867078856356315e-15,RESOLUTION_LIMITED,RESOLUTION_LIMITED,0.0,True
development,SPD_D02_C02_E1eM15,SPD,2,2,1e-15,9477031891702027615,5.652332851261448e-15,2.23798641604640798303042682502034347514318085e-15,5.57824082800367974253465971393799624426927907e-15,1.17524217579397003182504196411171051227264818e-15,9.37522164699805463462032255913656931794251027e-16,2.82616642563072436976752834420301943140075183e-16,8.0988438866131601625418393733786416625525351e-15,2.39538098305684793226382705444566938720697439e-15,8.01507662024878563925037811268917522366625307e-17,1.02143101320297922257721390368765707439140688e-16,1.35064460289285197291946000079977775733763192e-16,1.28004881846841699143133633921404213742738507e-16,2.66232369209613559255202133475369797610226542e-17,7.66229346974464256511139497109255770399901797e-17,0.0,1.14505684479453646456981906170933763273706721e-16,2.02048067072548627068963256886760760522283301e-16,2.66232369209613559255202133475369797610226542e-17,7.66229346974464256511139497109255770399901797e-17,True,True,False,False,True,True,True,True,True,0.0000000000000706428346685210673261871095287044842754497475,0.0000000000000705792723860696828669431794043647336106541148,6.36305270221708883592110500309183845406296107e-15,1.88198904071643948767385469200437963008121737e-15,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C02_E1eM14,SPD,2,2,1e-14,17708006654096734107,3.734500558227383e-15,5.6138507776011686713263614766244016831809106e-16,3.32984871442739373183453820001714441788615745e-16,4.90191080734725267862522146366122468490457833e-16,4.58160288714886463487302065703104172028307063e-16,1.79018083652384276028714147545061687589338844e-16,1.07338803285524051634480411520921629769604565e-15,1.12736945310199600737853835961428832810810374e-15,2.3787067094263826016687685208070392497231238e-16,1.83403875362008151039486419216321123083121289e-16,4.47545209131180990589727499168391574087788393e-17,1.93341294657798517632409716758568215398671046e-16,5.02471241567621477138731613415424309207409004e-18,1.82120952057953189720614839803236430177917414e-16,0.0,4.33035854556339024817508555188597042948237699e-17,1.1348508770105095055022156344025017995175218e-17,5.02471241567621477138731613415424309207409004e-18,1.82120952057953189720614839803236430177917414e-16,True,True,False,False,True,True,True,True,True,0.000000000000992153873021666332774833971092349647162990553,0.000000000000992221530041776594871430686047049357035158351,1.3313739976643232368258203836943539173418916e-15,1.3983297089948715719674522769504554047689091e-15,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C02_E1eM12,SPD,2,2,1e-12,345687911206730511,4.5493636035234594e-15,2.22548912536810357392063568466399697534895358e-15,8.48085628250766390543813134653494598332008403e-15,2.285541859250024242378527476360370777162217e-15,1.364085976756701589342581936555638228071562e-15,2.22044604917875269781831651793812690375633081e-16,0.0000000000000109283900127936427491405986829927556490446707,3.87167244092460110150294106470982169560941208e-15,9.3696174955994162879003728814237738030387035e-17,3.13768849361277441771117562258204137034268543e-17,4.9650683064945459941545406328950479034403517e-17,8.85172150961263922924063283504078951363636286e-17,2.69313203725561748277219526882065811530250223e-17,2.08314786614914534596584932372864253119281855e-17,0.0,5.42459847887570530609980297477131855756653491e-17,9.89123352409598341132429880247167360916921265e-17,2.69313203725561748277219526882065811530250223e-17,2.08314786614914534596584932372864253119281855e-17,True,True,False,False,True,True,True,True,True,0.0000000000800628882836589687873408807514742831648025349,0.0000000000800629284444983662248336182411102917723162289,0.0000000000000109283900127936427491405986829927556490446707,3.87167244092460111271617529555943978806030404e-15,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C02_E1eM8,SPD,2,2,1e-8,5092521022903664587,3.731901710627856e-15,1.67049630150863951967155779142195753186165003e-15,9.46166814656135797111639828608244316024748915e-17,4.90224739506317399194432004200451184998909465e-16,1.15243482298163370458437186897957218364731483e-16,1.83102585678071608895968561854079141247003108e-16,1.94821556865232470827869033613686110471112803e-15,7.88570807482552378548837752952487544610644056e-16,1.74671053786661555087399599741992398006489608e-17,3.95033293709363910642825666492306782982304033e-18,4.74287484026754755809898629683713313342744174e-17,5.16177841234497748357916616095869907465105021e-17,8.10757339287927450066833790745833534350301878e-18,5.34272210621654261970812168667068357660923761e-18,0.0,5.22006083250688394525648276128649182136493511e-17,5.68300468178130922919650770360324465569014719e-17,8.10757339287927450066833790745833534350301878e-18,5.34272210621654261970812168667068357660923761e-18,True,True,False,False,True,True,True,True,True,0.000000970390006853491609254387806179342307258984506,0.000000970390006846204628340945836810038332430132238,2.36255840324303222745140521519231591711643706e-15,9.56282568390933146044789611005871984448903513e-16,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C04_E1eM16,SPD,2,4,1e-16,13700126623469525899,3.4684476073040704e-15,0.000000000000555022703796397360101721289827972757611244938,0.0000000000000999867393856044357426920420429935341364122833,0.0000000000000448242621824205913806001222171759405293158607,0.0000000000000897882980909466529025332889098709524075011588,1.73422380365203539206617233775053511055418656e-16,0.00000000000065518286556236699938361994910474134525871264,0.000000000000134785982653732447822340028360821946447872438,1.33541077821226704530992974884360221924404867e-16,5.11550478952795679306771342201567020087452154e-17,1.04738230666885410295126716846676914374021623e-16,3.80627145929654356334371749232171276306326927e-17,2.4656778984177564526462529974542047605310002e-17,2.8179851697262492352119786862232804447953769e-17,0.0,8.22999056660058093233652738623793492257126951e-17,1.00666280683332999684659975572950067427161099e-17,2.4656778984177564526462529974542047605310002e-17,2.8179851697262492352119786862232804447953769e-17,True,True,False,False,True,True,True,True,True,0.000000000000768157261263240849307232445069906163183522023,0.000000000000768252764259625606245834696270024202864394174,0.000000000000838875698920995077571683006982592582110771377,0.000000000000172575766776733404712990383774454079945379478,RESOLUTION_LIMITED,TRANSITION,0.0,True
development,SPD_D02_C04_E1eM15,SPD,2,4,1e-15,6900698370647266413,3.5450981343521976e-15,0.000000000000222044619358818914856000218860550142320153754,0.000000000000872946708917687112801876258133708889140462545,0.000000000000110182052096240779500226249498932866853802167,0.000000000000099746035236084302070513321003884177025941226,1.73422380364899101879055739238584507146096379e-16,0.0000000000010951647506568709267597555327334976159677624,0.000000000000210101509712689980672618626242055628386889489,6.86033121766376439467033186959585420936117059e-17,1.12219938528453342163168706831161788050707529e-16,2.220446049250313080847263336181640625e-17,8.99457094876461284055717026284095634915147882e-17,1.19924413284754882862209282517655090035929443e-17,1.07942187942614020179927514312115491817771393e-16,0.0,1.21452914688426046180970155376171284068793358e-17,1.50532030488981397903524450399793955037021678e-16,1.19924413284754882862209282517655090035929443e-17,1.07942187942614020179927514312115491817771393e-16,True,True,False,False,True,True,True,True,True,0.00000000000640338076693403298337634332149342991039221639,0.00000000000640355220262305504230766950959348947164139645,0.00000000000140221477686593739765923993970671796824904899,0.000000000000269007417728038644853527366243593388784638283,TRANSITION,OBSERVABLE,0.0,True
development,SPD_D02_C04_E1eM14,SPD,2,4,1e-14,6447548273440557093,3.3820826608376064e-15,0.000000000000110955704634936116769301255447505130864869369,0.000000000000140046032464696752332769020682976589046538296,0.000000000000144850561677172406077872411848813727239186152,0.000000000000197919247451215731867032955570556840440723596,1.69104133041880323476208240824720818820470859e-16,0.000000000000251170841232674749425546484371306440730228136,0.000000000000342938913261430018268381575660195288498730218,1.19254157435806586906205044932971885161492395e-16,9.44812155201739397191602467653202429071555561e-17,6.75322301446425986459730000399888878668815961e-17,5.44364639761465217913381179143498794864070695e-17,2.14306758005020365410979098739619313137291478e-17,8.09932963720849496068609478406250562983140669e-17,0.0,5.09331893278022086416683053671693493187350717e-17,2.65715697817487108742981405845077907010215574e-17,2.14306758005020365410979098739619313137291478e-17,8.09932963720849496068609478406250562983140669e-17,True,True,False,False,True,True,True,True,True,0.0000000000919105639496773578985118710799687862356028935,0.0000000000919105966272660227488038702816315791908474142,0.000000000000329803472006382409438818208350560430680171501,0.000000000000450300853891481753594186552472236630881088239,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C04_E1eM12,SPD,2,4,1e-12,15899163008075185731,2.2392689993943564e-15,0.000000000000222044606312810087304920890526396748537188047,0.0000000000000884868768261371579597764150312491049897228194,4.32596668984699630343128516296492562022159116e-18,0.000000000000222044600463684074264033042492208407776295067,1.11022302262639998351718113638330213870372387e-16,0.000000000000310642505441209885263049023671284183740781239,0.000000000000222159948732636561258688191891009702915785661,1.33723359060608654922348689859061007452888515e-17,2.55564181354904249598184900024766365741780507e-17,2.48253415324727299707727031644752395172017585e-17,1.47232935139386701290502716183674101470086473e-17,4.32596666821716301642005109012797594331192927e-18,2.79520191412149965074717184409014809534199624e-17,0.0,2.32154218967075414156182627086720589147061322e-17,1.4336411253362312210868019705015025259125226e-17,4.32596666821716301642005109012797594331192927e-18,2.79520191412149965074717184409014809534199624e-17,True,True,False,False,True,True,True,True,True,0.00000000599999999333333422952295195872944895041524689,0.00000000599999996936800068654097228397210561846252872,0.000000000000621285010882419770526098047342568367481562478,0.00000000000044431989746527311034495709472879352928316811,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C04_E1eM8,SPD,2,4,1e-8,2620329747813844624,1.4042702025735021e-15,0.0000000000000832223269982371960577617800115806528706973982,0.0000000000000109469793751454427373553894887421636241047376,0.0000000000000224121307125152487013118900083007977011541919,0.0000000000000109113985834803241888917746773616279568869301,7.02135101207736215688146796861987841661791694e-17,0.000000000000094239519883503412416685984180009015278968315,0.0000000000000333937428061163465117724793653486244422073011,9.12333705122590829287263943864493988212014219e-18,4.04883862520829507062719613336200833752320767e-18,4.51828035988302744922845863572819867626473475e-17,4.9989458882760658394528272677302358095742803e-17,1.14446659295936173355700112040235696021397576e-17,7.42163978770912915075379859107053170923384155e-18,0.0,3.37392148825024575844406746171601884092636204e-17,4.26364943178429785857694863875355394049466183e-17,1.14446659295936173355700112040235696021397576e-17,7.42163978770912915075379859107053170923384155e-18,True,True,False,False,True,True,True,True,True,0.0000948556821698943599862381169094075534881517872,0.0000948556821698644675475659075052136835577945902,0.000000000000298011528432596631024933449568564984496008198,0.000000000000105600286865190240170764991135630640325132118,OBSERVABLE,OBSERVABLE,0.0,True
