system_id,family,dimension,condition_exponent,epsilon,seed,condition2_j,condition2_guarded,backward_error_j,backward_error_guarded,forward_bound_j,forward_bound_guarded,U_direct,relative_uncertainty,eta_stable_binary64,wp27_style_label,z_binary64_hex,zg_binary64_hex,delta_direct_hex,delta_stable_hex,finite
SPD_D02_C02_E1eM16,SPD,2,2,1e-16,3342380807748623415,100.00020202030198,100.00020202030097,4.378224641319112e-19,0.0,4.3782334862217547e-17,0.0,4.850917086975636e-15,4.484674433362837e-15,5.556031505704077e-15,TRANSITION,"[""-0x1.ccccccccccccdp-1"", ""0x1.3333333333333p-1""]","[""-0x1.ccccccccccccdp-1"", ""0x1.33333333332fdp-1""]","[""0x0.0p+0"", ""-0x1.b000000000000p-48""]","[""0x1.bac36bc0fc000p-54"", ""-0x1.b0fe7c321071ap-48""]",True
SPD_D02_C02_E1eM15,SPD,2,2,1e-15,9477031891702027615,100.00020202030198,100.00020202029211,0.0,0.0,0.0,0.0,5.652332851261448e-15,4.440892098500514e-15,7.064283466852107e-14,OBSERVABLE,"[""-0x1.ccccccccccccdp-1"", ""0x1.ccccccccccccep-1""]","[""-0x1.cccccccccccc5p-1"", ""0x1.cccccccccc9a4p-1""]","[""0x1.0000000000000p-50"", ""-0x1.9500000000000p-44""]","[""0x1.d2fc2ee9b1685p-51"", ""-0x1.94eb2c2798a5cp-44""]",True
SPD_D02_C02_E1eM14,SPD,2,2,1e-14,17708006654096734107,100.00020202030198,100.00020202020298,0.0,1.911853708985171e-18,0.0,1.911857571315915e-16,3.734500558227383e-15,4.632077855629843e-15,9.921538730216663e-13,OBSERVABLE,"[""0x1.999999999999ap-4"", ""0x1.999999999999ap-1""]","[""0x1.999999999998bp-4"", ""0x1.9999999997d73p-1""]","[""-0x1.e000000000000p-53"", ""-0x1.c270000000000p-41""]","[""-0x1.cd6631102ff07p-53"", ""-0x1.c24dbd2b498ccp-41""]",True
SPD_D02_C02_E1eM12,SPD,2,2,1e-12,345687911206730511,100.00020202030198,100.00020201040196,5.423564301932403e-19,5.423564302147602e-19,5.423575258633384e-17,5.42357525831165e-17,4.5493636035234594e-15,4.5493636035234594e-15,8.006288828365898e-11,OBSERVABLE,"[""0x1.3333333333333p-1"", ""0x1.999999999999ap-1""]","[""0x1.3333333331b45p-1"", ""0x1.99999998e98bdp-1""]","[""-0x1.7ee0000000000p-41"", ""-0x1.601ba00000000p-34""]","[""-0x1.7ed6f98c993f5p-41"", ""-0x1.601b8be992f1fp-34""]",True
SPD_D02_C02_E1eM8,SPD,2,2,1e-8,5092521022903664587,100.00020202030198,100.00010302009898,8.470539236433758e-19,0.0,8.470556348642705e-17,0.0,3.731901710627856e-15,4.525595569806436e-15,9.703900068534916e-07,OBSERVABLE,"[""-0x1.9999999999999p-3"", ""0x1.999999999999ap-1""]","[""-0x1.9999993962c9ap-3"", ""0x1.99997ebff0f36p-1""]","[""0x1.80db3fc000000p-29"", ""-0x1.ad9a8a6400000p-21""]","[""0x1.80db3fe4b119ep-29"", ""-0x1.ad9a8a64109c4p-21""]",True
SPD_D02_C04_E1eM16,SPD,2,4,1e-16,13700126623469525899,10000.000200020002,10000.000200010001,0.0,0.0,0.0,0.0,3.4684476073040704e-15,4.440892098499315e-15,7.681572612632409e-13,OBSERVABLE,"[""-0x1.fffffffffffffp-2"", ""-0x1.3333333333334p-1""]","[""-0x1.0000000000000p-1"", ""-0x1.3333333331e17p-1""]","[""-0x1.0000000000000p-54"", ""0x1.51d0000000000p-41""]","[""-0x1.70c01b224aa3cp-57"", ""0x1.51bde836ca24ap-41""]",True
SPD_D02_C04_E1eM15,SPD,2,4,1e-15,6900698370647266413,10000.000800080026,10000.000799980038,0.0,9.814093544166214e-21,0.0,9.814094329274108e-17,3.5450981343521976e-15,4.5390330417838584e-15,6.4033807669340336e-12,OBSERVABLE,"[""0x1.3333333333333p-1"", ""0x1.0000000000000p-1""]","[""0x1.3333333333324p-1"", ""0x1.ffffffffea012p-2""]","[""-0x1.e000000000000p-50"", ""-0x1.5fee000000000p-38""]","[""-0x1.cd3cdef645a71p-50"", ""-0x1.5fed9c1d790e5p-38""]",True
SPD_D02_C04_E1eM14,SPD,2,4,1e-14,6447548273440557093,10000.000200020002,10000.000199020102,0.0,0.0,0.0,0.0,3.3820826608376064e-15,4.440892098313049e-15,9.191056394967735e-11,OBSERVABLE,"[""-0x1.3333333333333p-2"", ""0x1.6666666666667p-1""]","[""-0x1.333333333337bp-2"", ""0x1.66666665cc799p-1""]","[""-0x1.2000000000000p-48"", ""-0x1.33d9c00000000p-34""]","[""-0x1.20357137ddcabp-48"", ""-0x1.33d99da3317c6p-34""]",True
SPD_D02_C04_E1eM12,SPD,2,4,1e-12,15899163008075185731,10000.0,9999.999900010002,0.0,3.764590879508469e-21,0.0,3.7645908418663255e-17,2.2392689993943564e-15,4.478537998788713e-15,5.999999993333334e-09,OBSERVABLE,"[""-0x1.999999999999ap-2"", ""0x1.3333333333333p-2""]","[""-0x1.9999999997d74p-2"", ""0x1.333332ffa90f8p-2""]","[""0x1.c260000000000p-42"", ""-0x1.9c511d8000000p-29""]","[""0x1.c25c26849578ep-42"", ""-0x1.9c511d7e773e2p-29""]",True
SPD_D02_C04_E1eM8,SPD,2,4,1e-8,2620329747813844624,10000.000200020002,9999.000399970004,0.0,0.0,0.0,0.0,1.4042702025735021e-15,4.4406922904383104e-15,9.485568216989438e-05,OBSERVABLE,"[""0x1.9999999999999p-4"", ""0x1.3333333333334p-2""]","[""0x1.99999a2302ef8p-4"", ""0x1.332b5633d64b5p-2""]","[""0x1.12d2abe000000p-29"", ""-0x1.f73fd739fc000p-16""]","[""0x1.12d2abcf56013p-29"", ""-0x1.f73fd739fc66ep-16""]",True
SPD_D02_C06_E1eM16,SPD,2,6,1e-16,7794877774274524974,1000000.0,999999.9998999999,0.0,0.0,0.0,0.0,3.580361673005382e-15,4.440892098445969e-15,4.961389383079797e-11,OBSERVABLE,"[""-0x1.6666666666666p-1"", ""-0x1.999999999999ap-2""]","[""-0x1.6666666666666p-1"", ""-0x1.99999998e9ad9p-2""]","[""0x0.0p+0"", ""0x1.5fd8200000000p-35""]","[""0x1.42d169d7dfa03p-54"", ""0x1.5fd7fe16ff2bcp-35""]",True
SPD_D02_C06_E1eM15,SPD,2,6,1e-15,17628145585040437798,1000000.0001999999,999999.9992000011,0.0,6.411504107712e-22,0.0,6.411504102582809e-16,3.664712969248665e-15,5.0820425078784426e-15,5.546918751876317e-10,OBSERVABLE,"[""0x1.3333333333333p-1"", ""-0x1.9999999999992p-2""]","[""0x1.3333333333351p-1"", ""-0x1.99999992ba69dp-2""]","[""0x1.e000000000000p-49"", ""0x1.b7cbd40000000p-32""]","[""0x1.e9fba55c9c1efp-49"", ""0x1.b7cc4d3da40a8p-32""]",True
SPD_D02_C06_E1eM14,SPD,2,6,1e-14,8214231739146521320,1000000.0001999999,999999.99020001,0.0,0.0,0.0,0.0,4.803559234356574e-15,4.4408920831285055e-15,8.320447390516743e-09,OBSERVABLE,"[""-0x1.3333333333333p-1"", ""-0x1.cccccccccccccp-1""]","[""-0x1.3333333333628p-1"", ""-0x1.cccccc7f7db91p-1""]","[""-0x1.7a80000000000p-44"", ""0x1.353c4ec000000p-27""]","[""-0x1.7a4cb6ae41c30p-44"", ""0x1.353c4f03345d8p-27""]",True
SPD_D02_C06_E1eM12,SPD,2,6,1e-12,16830576898471770375,1000000.0001999999,999999.0002019999,0.0,4.795794228644418e-22,0.0,4.795789433818941e-16,2.869101836908249e-15,4.920469056595383e-15,8.574869233059501e-07,OBSERVABLE,"[""0x1.3333333333334p-2"", ""-0x1.ffffffffffff6p-2""]","[""0x1.3333333347deep-2"", ""-0x1.ffffde722022bp-2""]","[""0x1.4aba000000000p-38"", ""0x1.0c6efee580000p-21""]","[""0x1.4abb0ae0b36c6p-38"", ""0x1.0c6efee634624p-21""]",True
SPD_D02_C06_E1eM8,SPD,2,6,1e-8,4700767032875647822,1000000.0001999999,990099.0199990199,0.0,6.588650111883168e-17,0.0,6.523416019317507e-11,6.426400213346453e-11,6.49164452782279e-11,0.00700112725045987,OBSERVABLE,"[""0x1.6666666666666p-1"", ""-0x1.6666666666667p-1""]","[""0x1.666663d6ec299p-1"", ""-0x1.62d9f89aea5e3p-1""]","[""-0x1.47bd1e6800000p-24"", ""0x1.c636e5be04200p-8""]","[""-0x1.47bd1e6813ceap-24"", ""0x1.c636e5be04733p-8""]",True
SPD_D02_C08_E1eM16,SPD,2,8,1e-16,7930080439161776160,100000000.0008,99999999.00080004,0.0,1.3234876618867986e-22,0.0,1.323487648662528e-14,1.7675768486212243e-14,1.767576848621199e-14,7.999987920016063e-09,OBSERVABLE,"[""0x1.3333333333333p-1"", ""-0x1.9999999999a39p-1""]","[""0x1.33333333333c4p-1"", ""-0x1.99999954e1740p-1""]","[""0x1.2200000000000p-46"", ""0x1.12e0be4000000p-27""]","[""0x1.1f2629e940a5ap-46"", ""0x1.12e0a34ec81bap-27""]",True
SPD_D02_C08_E1eM15,SPD,2,8,1e-15,13666721563256398758,100000000.0008,99999990.0008011,0.0,1.752564461303989e-22,0.0,1.7525642860616133e-14,1.3361721544518584e-14,2.1966534905750252e-14,1.643969980781312e-08,OBSERVABLE,"[""0x1.3333333333333p-1"", ""0x1.9999999999bb7p-4""]","[""0x1.33333333333e1p-1"", ""0x1.999996ea6a1fep-4""]","[""0x1.5c00000000000p-46"", ""-0x1.5797cdc800000p-27""]","[""0x1.5d7997bd206a9p-46"", ""-0x1.5797ddab4a65bp-27""]",True
SPD_D02_C08_E1eM14,SPD,2,8,1e-14,17696088028531801888,100000000.00020003,99999900.00030103,0.0,6.956791931276282e-23,0.0,6.9567849745053425e-15,1.0508134170930926e-14,1.1397671782599557e-14,7.592564939005621e-07,OBSERVABLE,"[""-0x1.3333333333333p-1"", ""0x1.6666666666663p-1""]","[""-0x1.3333333331a5cp-1"", ""0x1.66664ee9725b1p-1""]","[""0x1.8d70000000000p-41"", ""-0x1.77cf40b200000p-21""]","[""0x1.8d714ef156ea8p-41"", ""-0x1.77cf40f19983bp-21""]",True
SPD_D02_C08_E1eM12,SPD,2,8,1e-12,17204118294971870143,100000000.00020003,99990001.0002,0.0,5.617316947305282e-23,0.0,5.616755271794988e-15,9.90550657612019e-15,1.0057518115769486e-14,4.060969425478368e-05,OBSERVABLE,"[""-0x1.ccccccccccccdp-1"", ""-0x1.999999999997bp-2""]","[""-0x1.cccccccd22c5dp-1"", ""-0x1.998f1d851770ep-2""]","[""-0x1.57e4000000000p-35"", ""0x1.4f829044da000p-15""]","[""-0x1.57e429ed22dc3p-35"", ""0x1.4f829047710cbp-15""]",True
