dataset,system_id,lane,family,dimension,condition_exponent,epsilon,parent,inverse_frobenius,inverse_spectral,norm_majorant_inflation,parent_bound,parent_error,parent_effectivity,directional_alignment_inflation,factorization_relative_residual,status
development,NONSYMMETRIC_D02_C02_E1eM12,decimal-source,NONSYMMETRIC,2,2,1e-12,z,100.0055999072056,100.00060008220782,1.000049997949949,1.110285196306368e-15,1.1102230246251566e-17,100.00559992720675,100.00060010220795,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM12,decimal-source,NONSYMMETRIC,2,2,1e-12,zg,100.00559989720601,100.00060007220776,1.0000499979499586,7.252661717671774e-15,7.414356791684991e-17,97.81916249033829,97.81427197726272,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM12,binary64-operand,NONSYMMETRIC,2,2,1e-12,z,100.0055999072056,100.00060008220782,1.000049997949949,8.70333427769873e-17,7.182827031614842e-18,12.11686462640887,12.116258838305901,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM12,binary64-operand,NONSYMMETRIC,2,2,1e-12,zg,100.00559989720601,100.00060007220776,1.0000499979499586,3.5619571585638934e-15,3.793797428742433e-17,93.88896548819187,93.88427146708516,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM14,decimal-source,NONSYMMETRIC,2,2,1e-14,z,100.00484984239543,99.9998500048879,1.0000499984500706,1.6629381960408125e-15,1.8619006149354548e-17,89.31401508229592,89.30954974323227,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM14,decimal-source,NONSYMMETRIC,2,2,1e-14,zg,100.00484984229544,99.9998500047879,1.0000499984500706,2.033276458398024e-15,2.6075094596786852e-17,77.97772126389823,77.97382269361748,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM14,binary64-operand,NONSYMMETRIC,2,2,1e-14,z,100.00484984239543,99.9998500048879,1.0000499984500706,5.266307368517608e-16,6.395111959932975e-18,82.34894715702212,82.34483004314865,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM14,binary64-operand,NONSYMMETRIC,2,2,1e-14,zg,100.00484984229544,99.9998500047879,1.0000499984500706,1.0567783500860506e-15,1.0855555622835424e-17,97.34907975258706,97.34421269282907,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM15,decimal-source,NONSYMMETRIC,2,2,1e-15,z,100.00360012718834,99.99860020221367,1.0000499999496448,6.167820234957308e-16,1.7772239894833365e-16,3.4704799572002054,3.4703064420528507,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM15,decimal-source,NONSYMMETRIC,2,2,1e-15,zg,100.00360012717836,99.99860020220368,1.000049999949645,1.1834541496237526e-15,1.163945743203045e-16,10.167605805808634,10.167097451448026,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM15,binary64-operand,NONSYMMETRIC,2,2,1e-15,z,100.00360012718834,99.99860020221367,1.0000499999496448,4.651295901300881e-16,1.1035333247887496e-16,4.2149120437221805,4.214701308868969,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM15,binary64-operand,NONSYMMETRIC,2,2,1e-15,zg,100.00360012717836,99.99860020220368,1.000049999949645,2.419988212431067e-16,1.1246164508558614e-16,2.1518342636633094,2.1517266774377877,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM16,decimal-source,NONSYMMETRIC,2,2,1e-16,z,100.0045998822054,99.99960000720041,1.000049998950042,8.165537979862877e-16,1.5565409952966683e-16,5.245951121452197,5.245688842517825,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM16,decimal-source,NONSYMMETRIC,2,2,1e-16,zg,100.0045998822044,99.99960000719942,1.000049998950042,6.15275550800403e-17,5.0787127259455394e-17,1.2114793334483254,1.211418763782075,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM16,binary64-operand,NONSYMMETRIC,2,2,1e-16,z,100.0045998822054,99.99960000720041,1.000049998950042,4.0026138385153327e-16,1.0859464751798634e-16,3.6858297623300325,3.685645483925609,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM16,binary64-operand,NONSYMMETRIC,2,2,1e-16,zg,100.0045998822044,99.99960000719942,1.000049998950042,6.206879278234329e-16,5.3331135114430414e-17,11.638378341125657,11.637796463521678,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM8,decimal-source,NONSYMMETRIC,2,2,1e-8,z,100.01734981724594,100.01235140452596,1.0000499779542205,4.2987395173508025e-15,1.1957467920563633e-16,35.95024921587392,35.94845258575629,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM8,decimal-source,NONSYMMETRIC,2,2,1e-8,zg,100.01724980578639,100.01225138816797,1.0000499780531789,2.783950242647475e-15,5.896850950926012e-17,47.21079548755251,47.20843610182252,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM8,binary64-operand,NONSYMMETRIC,2,2,1e-8,z,100.01734981724594,100.01235140452596,1.0000499779542205,4.801355588214837e-15,1.0483354497118587e-16,45.79980186241455,45.7975129964066,0.0,FINITE
development,NONSYMMETRIC_D02_C02_E1eM8,binary64-operand,NONSYMMETRIC,2,2,1e-8,zg,100.01724980578639,100.01225138816797,1.0000499780531789,1.975009175936044e-15,4.216053995505044e-17,46.84496873241436,46.84262762907967,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM12,decimal-source,NONSYMMETRIC,2,4,1e-12,z,10000.735083019117,10000.73503302524,1.0000000049990203,6.599650810981669e-13,1.1102230246251565e-16,5944.436986622487,5944.4369569061255,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM12,decimal-source,NONSYMMETRIC,2,4,1e-12,zg,10000.734983006867,10000.73493301299,1.0000000049990203,1.44336038942105e-13,5.807424135714783e-17,2485.3710624381665,2485.3710500137463,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM12,binary64-operand,NONSYMMETRIC,2,4,1e-12,z,10000.735083019117,10000.73503302524,1.0000000049990203,2.7222587906352197e-13,3.385139076644409e-17,8041.793051923043,8041.793011721957,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM12,binary64-operand,NONSYMMETRIC,2,4,1e-12,zg,10000.734983006867,10000.73493301299,1.0000000049990203,9.54660096204292e-13,9.797343277026178e-17,9744.071114083321,9744.071065372511,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM14,decimal-source,NONSYMMETRIC,2,4,1e-14,z,9999.760058317746,9999.760008319749,1.0000000049999198,1.776452986323179e-15,2.2204460492503132e-17,80.00433007246274,80.0043296724475,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM14,decimal-source,NONSYMMETRIC,2,4,1e-14,zg,9999.760057317828,9999.760007319826,1.00000000499992,3.978902527171206e-13,7.506061739960338e-17,5300.918997226675,5300.918970722504,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM14,binary64-operand,NONSYMMETRIC,2,4,1e-14,z,9999.760058317746,9999.760008319749,1.0000000049999198,1.6136705543352125e-13,6.109644983722859e-17,2641.1854676242356,2641.1854544185203,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM14,binary64-operand,NONSYMMETRIC,2,4,1e-14,zg,9999.760057317828,9999.760007319826,1.00000000499992,1.9833658423134897e-13,1.9932609290601235e-17,9950.35729340614,9950.35724365515,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM15,decimal-source,NONSYMMETRIC,2,4,1e-15,z,10000.035046262077,10000.034996264701,1.00000000499972,5.543362990445919e-13,5.661048867003676e-17,9792.11294704819,9792.112898090367,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM15,decimal-source,NONSYMMETRIC,2,4,1e-15,zg,10000.035046162078,10000.034996164703,1.00000000499972,6.610850306781649e-13,6.726818241118525e-17,9827.60358585578,9827.603536720515,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM15,binary64-operand,NONSYMMETRIC,2,4,1e-15,z,10000.035046262077,10000.034996264701,1.00000000499972,1.223886398102867e-13,1.4193495104884655e-17,8622.868356657758,8622.868313545832,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM15,binary64-operand,NONSYMMETRIC,2,4,1e-15,zg,10000.035046162078,10000.034996164703,1.00000000499972,3.2197968374794386e-13,3.609999436693426e-17,8919.106204705138,8919.106160112105,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM16,decimal-source,NONSYMMETRIC,2,4,1e-16,z,10000.060050220301,10000.060000220801,1.00000000499992,2.2160184753916922e-13,3.14018491736755e-17,7056.968088520735,7056.968053236459,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM16,decimal-source,NONSYMMETRIC,2,4,1e-16,zg,10000.0600502103,10000.0600002108,1.00000000499992,2.774330604561365e-13,9.943365698538468e-17,2790.132324077301,2790.132310126862,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM16,binary64-operand,NONSYMMETRIC,2,4,1e-16,z,10000.060050220301,10000.060000220801,1.00000000499992,2.1119344307527644e-13,2.114619838144701e-17,9987.300755703243,9987.300705767539,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM16,binary64-operand,NONSYMMETRIC,2,4,1e-16,zg,10000.0600502103,10000.0600002108,1.00000000499992,1.3297777055814384e-13,5.1310436002988444e-17,2591.632052208617,2591.632039250664,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM8,decimal-source,NONSYMMETRIC,2,4,1e-8,z,10000.735083019117,10000.73503302524,1.0000000049990203,8.638171206824224e-14,4.518280359883027e-17,1911.827181757233,1911.82717219997,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM8,decimal-source,NONSYMMETRIC,2,4,1e-8,zg,9999.735060512161,9999.735010513286,1.00000000500002,3.762418049933732e-14,5.572282489740429e-17,675.2023173378267,675.2023139618017,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM8,binary64-operand,NONSYMMETRIC,2,4,1e-8,z,10000.735083019117,10000.73503302524,1.0000000049990203,1.785508750901204e-14,6.5234058885789504e-18,2737.0805701776694,2737.0805564949483,0.0,FINITE
development,NONSYMMETRIC_D02_C04_E1eM8,binary64-operand,NONSYMMETRIC,2,4,1e-8,zg,9999.735060512161,9999.735010513286,1.00000000500002,4.537042128006633e-14,4.1385557822275445e-17,1096.2863295187015,1096.286324037248,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM12,decimal-source,NONSYMMETRIC,2,6,1e-12,z,1000003.4996268902,1000003.49962639,1.0000000000005,1.0480542030696463e-11,8.950904182623619e-17,117089.19922349663,117089.19922343807,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM12,decimal-source,NONSYMMETRIC,2,6,1e-12,zg,1000002.4996453902,1000002.4996448902,1.0000000000005,1.3743139119080592e-11,2.3798528041206094e-17,577478.5354491235,577478.5354488348,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM12,binary64-operand,NONSYMMETRIC,2,6,1e-12,z,1000003.4996268902,1000003.49962639,1.0000000000005,8.572339528883673e-12,4.46351080354967e-17,192053.7421364904,192053.74213639434,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM12,binary64-operand,NONSYMMETRIC,2,6,1e-12,zg,1000002.4996453902,1000002.4996448902,1.0000000000005,2.1288209143083355e-12,4.793251412076442e-17,44412.8782593135,44412.87825929129,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM14,decimal-source,NONSYMMETRIC,2,6,1e-14,z,1000096.005632877,1000096.0056323772,1.0000000000004998,2.3272508673965532e-11,1.350644602892852e-16,172306.67952264985,172306.67952256373,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM14,decimal-source,NONSYMMETRIC,2,6,1e-14,zg,1000095.995631277,1000095.9956307771,1.0000000000004998,3.5353391712240505e-11,1.8009827268277993e-16,196300.55960898072,196300.5596088826,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM14,binary64-operand,NONSYMMETRIC,2,6,1e-14,z,1000096.005632877,1000096.0056323772,1.0000000000004998,1.7026904604600732e-11,7.198432066149741e-17,236536.2963508245,236536.29635070628,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM14,binary64-operand,NONSYMMETRIC,2,6,1e-14,zg,1000095.995631277,1000095.9956307771,1.0000000000004998,3.390391509060989e-11,1.4994842453876453e-16,226103.84333744756,226103.84333733455,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM15,decimal-source,NONSYMMETRIC,2,6,1e-15,z,1000026.0006225151,1000026.0006220152,1.0000000000004998,1.0836058458099091e-11,1.336885555457667e-16,81054.49575591752,81054.49575587701,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM15,decimal-source,NONSYMMETRIC,2,6,1e-15,zg,1000025.9996224652,1000025.9996219653,1.0000000000004998,2.680594645419159e-11,2.291019254230811e-16,117004.45731605797,117004.45731599949,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM15,binary64-operand,NONSYMMETRIC,2,6,1e-15,z,1000026.0006225151,1000026.0006220152,1.0000000000004998,2.3499869090428995e-11,7.830391192817601e-17,300111.0482447437,300111.0482445937,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM15,binary64-operand,NONSYMMETRIC,2,6,1e-15,zg,1000025.9996224652,1000025.9996219653,1.0000000000004998,6.401989959234427e-12,7.674999996597547e-17,83413.54999443042,83413.54999438873,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM16,decimal-source,NONSYMMETRIC,2,6,1e-16,z,999998.4999993752,999998.4999988753,1.0000000000004998,2.273733343895122e-11,1.7901808365247238e-16,127011.37770579189,127011.3777057284,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM16,decimal-source,NONSYMMETRIC,2,6,1e-16,zg,999998.4998993758,999998.499898876,1.0000000000004998,6.240420702428402e-11,1.0528632063549333e-16,592709.5433444825,592709.5433441863,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM16,binary64-operand,NONSYMMETRIC,2,6,1e-16,z,999998.4999993752,999998.4999988753,1.0000000000004998,9.813662928657975e-12,1.3212043020776993e-16,74278.16359078763,74278.16359075051,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM16,binary64-operand,NONSYMMETRIC,2,6,1e-16,zg,999998.4998993758,999998.499898876,1.0000000000004998,9.48059651947236e-12,9.1652908848918e-17,103440.21415730857,103440.21415725687,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM8,decimal-source,NONSYMMETRIC,2,6,1e-8,z,1000188.5160363443,1000188.5160358448,1.0000000000004994,1.2547885210494282e-11,1.1157603309187458e-16,112460.39909092333,112460.39909086717,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM8,decimal-source,NONSYMMETRIC,2,6,1e-8,zg,990284.6396341475,990284.6396336429,1.0000000000005096,1.7265016906510714e-11,1.7564023060249766e-17,982976.2149187932,982976.2149182922,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM8,binary64-operand,NONSYMMETRIC,2,6,1e-8,z,1000188.5160363443,1000188.5160358448,1.0000000000004994,7.51623876303191e-12,9.703544114984623e-17,77458.69626567695,77458.69626563827,0.0,FINITE
development,NONSYMMETRIC_D02_C06_E1eM8,binary64-operand,NONSYMMETRIC,2,6,1e-8,zg,990284.6396341475,990284.6396336429,1.0000000000005096,2.4728955364389003e-13,3.512854842134618e-17,7039.560834617985,7039.560834614398,0.0,FINITE
development,NONSYMMETRIC_D02_C08_E1eM12,decimal-source,NONSYMMETRIC,2,8,1e-12,z,99999600.00219999,99999600.0022,0.9999999999999999,1.096895960752395e-09,6.75322301446426e-17,16242554.975646881,16242554.975646883,0.0,FINITE
