model,term,group,standardized_response_coefficient,drop_one_partial_R2
combined,intercept,intercept,0.04544186110026638,
combined,condition_exponent,condition_exponent,0.3060088050835623,
combined,log10_epsilon,log10_epsilon,-0.0829519234296565,
combined,log2_dimension,log2_dimension,0.01965939856336821,
combined,family_NONSYMMETRIC,family,0.0049229661854453405,
combined,family_SADDLE_POINT_LIKE,family,-0.33104364054066415,
combined,lane_binary64,lane,0.11936892030703047,
combined,dataset_holdout,dataset,0.00716114039591631,
combined,,condition_exponent,,0.09431814345552508
combined,,dataset,,1.4140563105683813e-05
combined,,family,,0.027570046191786296
combined,,lane,,0.0040688114447773914
combined,,log10_epsilon,,0.007764058431950144
combined,,log2_dimension,,0.00044306116445892734
development,intercept,intercept,0.03275923188926217,
development,condition_exponent,condition_exponent,0.8734731400286008,
development,log10_epsilon,log10_epsilon,-0.05597528632400792,
development,log2_dimension,log2_dimension,0.04461874455591351,
development,family_NONSYMMETRIC,family,0.30675884864758807,
development,family_SADDLE_POINT_LIKE,family,-0.47018631273491684,
development,lane_binary64,lane,0.04343317894636278,
development,,condition_exponent,,0.8550308449844088
development,,family,,0.44109547064649385
development,,lane,,0.003632535323112933
development,,log10_epsilon,,0.02364862289015793
development,,log2_dimension,,0.015156845662427284
holdout,intercept,intercept,0.06234606738274074,
holdout,condition_exponent,condition_exponent,0.1666059706659303,
holdout,log10_epsilon,log10_epsilon,-0.10479857856639023,
holdout,log2_dimension,log2_dimension,0.014855626979978189,
holdout,family_NONSYMMETRIC,family,-0.09155185026846384,
holdout,family_SADDLE_POINT_LIKE,family,-0.34077107294361436,
holdout,lane_binary64,lane,0.16352314737590373,
holdout,,condition_exponent,,0.028872717650829896
holdout,,family,,0.021726956885259725
holdout,,lane,,0.007109356429704329
holdout,,log10_epsilon,,0.011626851057550517
holdout,,log2_dimension,,0.00023632502435824487
