system_id,lane,family,dimension,condition_exponent,epsilon,decimal_digits,delta_normalized_difference,U_response_normalized_difference,maximum_normalized_difference
G2H_NONSYMMETRIC_D02_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,2,0,7e-17,160,7.358224960651820812282931974234553951853310377115621107795706220359779794295891805856817251573781966655186884200359506273533394576595725474979178249886476245939E-145,5.102095331509251145778591600153975347553689437869122103660078550105773203271385508543876708352049669932515321401274595390637706069984569224627524388992252264426E-150,7.358224960651820812282931974234553951853310377115621107795706220359779794295891805856817251573781966655186884200359506273533394576595725474979178249886476245939E-145
G2H_NONSYMMETRIC_D02_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,2,0,7e-17,160,5.246325561321213876313753224473031699849511858661887111257952740508289739335665290842381589632887597646187659120908519046928172831637967136933602679940937581501E-43,3.045903925320984076530451959045509094945522503670583429626032378561981537438963067882032039138063103123933185791679485907159837633957144714489162622191327556704E-160,5.246325561321213876313753224473031699849511858661887111257952740508289739335665290842381589632887597646187659120908519046928172831637967136933602679940937581501E-43
G2H_NONSYMMETRIC_D02_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,2,12,7e-15,160,7.347460744526091040288942598722509818233944126838374535717220943163710792401286588986302078893105647960125708214335976136331697241367320607380100213333255299774E-158,2.241903691590579129681680334265241788039041656217466263566104738619184324521220469472962348324535060449569015612108445788983943903867304033046259543972483121628E-160,7.347460744526091040288942598722509818233944126838374535717220943163710792401286588986302078893105647960125708214335976136331697241367320607380100213333255299774E-158
G2H_NONSYMMETRIC_D02_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,2,12,7e-15,160,5.230610868368105709675725817679119102123068419359553929295799804003304571000841045589767961301773355413736930491078834912833928226741209969057194826964281632134E-158,3.662526000580071845149425739586648027809321569627591635089350695882697998751372438206490195705685043326196403056211190689807039897575174749605276781197630485518E-160,5.230610868368105709675725817679119102123068419359553929295799804003304571000841045589767961301773355413736930491078834912833928226741209969057194826964281632134E-158
G2H_NONSYMMETRIC_D02_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,2,14,7e-9,160,9.258521051219979410289241855944561042727728275477002425641489693604010311518692848523326597066160387276564944100155148416432229117504678316000613911771122514123E-161,1.326645389060661277412902577202593663011983001437587284932060347881702891538783633601506114445479411436866997797096686371124260062823150732881772577853813600041E-160,1.326645389060661277412902577202593663011983001437587284932060347881702891538783633601506114445479411436866997797096686371124260062823150732881772577853813600041E-160
G2H_NONSYMMETRIC_D02_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,2,14,7e-9,160,7.828287916940892422866976089369205971874677084606130823395916644164700674338559369908908532518937274050738596150371426574959350792344336659781765549618915147237E-161,4.914912056786546364537051599067061126784830688144339926222935222002428989353877365200666264036761679123743458374217538133891219280829630302789206345448935119444E-160,4.914912056786546364537051599067061126784830688144339926222935222002428989353877365200666264036761679123743458374217538133891219280829630302789206345448935119444E-160
G2H_NONSYMMETRIC_D04_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,4,0,7e-17,160,1.954975645570741151376414187942388011594811390564116118353705147428351032260919714930981259525960480743086047797676709269236585893769802964994008279922205788919E-144,1.907453998593590141492796260803444053499413140987792796363033529205672574825357721324379504079622911184948835630823286132475817522599404616968471093011360267806E-150,1.954975645570741151376414187942388011594811390564116118353705147428351032260919714930981259525960480743086047797676709269236585893769802964994008279922205788919E-144
G2H_NONSYMMETRIC_D04_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,4,0,7e-17,160,5.980800048725273190767259861512780322843243652999831988586352902405101522551414885628943022480867575232959130572426774446226989431880074193184559530652831763847E-42,2.039922797031630434694290073095413017037613619975421189787148672961113636459107617659034027281529350189759828407406482155953086132442228514246323965064160695295E-161,5.980800048725273190767259861512780322843243652999831988586352902405101522551414885628943022480867575232959130572426774446226989431880074193184559530652831763847E-42
G2H_NONSYMMETRIC_D04_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,4,12,7e-15,160,3.681928360327474320379071125907007637369994118092804542716064435845345703022637081294726600796464441156919710340664847561655753650708817851866405635858820790090E-158,1.100956581312972217504310560919924050534556466659245999725495555490887637461496034184369353647294883863854847712511829485489567315184787568667932453250230542837E-159,3.681928360327474320379071125907007637369994118092804542716064435845345703022637081294726600796464441156919710340664847561655753650708817851866405635858820790090E-158
G2H_NONSYMMETRIC_D04_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,4,12,7e-15,160,1.341581059916459656009721973932053720273470404217786671056003057856556604363398895108251972334335635663888517499194475705963764519607013704641893098020312932239E-157,7.135770331627633158190617444877084470709545861108970213591419236884631246849395512393963588456038449463907956087053989078351684474488602610263388469112107864459E-160,1.341581059916459656009721973932053720273470404217786671056003057856556604363398895108251972334335635663888517499194475705963764519607013704641893098020312932239E-157
G2H_NONSYMMETRIC_D04_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,4,14,7e-9,160,5.477468477259192110109564185182428974705933760698285494607984119906066858729022437662219507963373978505562374785534868575299208358846141172952003934156743873301E-160,1.051258377042363479944132790381976938469291723817422103597424400432554432580889740379733450877119341200003147575696465892335523451218241601204097829035443499466E-159,1.051258377042363479944132790381976938469291723817422103597424400432554432580889740379733450877119341200003147575696465892335523451218241601204097829035443499466E-159
G2H_NONSYMMETRIC_D04_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,4,14,7e-9,160,3.993566541816433023371698743649709341925643273964852736617275863814673946991871852309307437298545766067381146833820982577846300787715657886858472443701482443424E-160,1.921283713184016296546256917760625815116574303508163760522491293551232470339598779187588349722660896887163290065922801265832060334967318076508175743645774467493E-160,3.993566541816433023371698743649709341925643273964852736617275863814673946991871852309307437298545766067381146833820982577846300787715657886858472443701482443424E-160
G2H_NONSYMMETRIC_D08_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,8,0,7e-17,160,8.978918867415114180850117812875679430446425137355644182924426087483091752053348976971313464013304522538656072028506205592748818749118481706248418591869520260858E-144,3.086599351356088295792392899363953091634946150528324215080283334245356871964875053790017037878112562806637929001841036159199926725029357471986276427602810601880E-151,8.978918867415114180850117812875679430446425137355644182924426087483091752053348976971313464013304522538656072028506205592748818749118481706248418591869520260858E-144
G2H_NONSYMMETRIC_D08_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,8,0,7e-17,160,6.281125390851668682990021291535487251083121742295454982643172378013843652626255501369558154821673239378473303556336153973254011435480621397842877106211825690795E-42,3.134562913653670812647466500612120893283793568457182138347387490835322105812101747761014755002032661357809096287032885091382882144241565799565515642634974100012E-161,6.281125390851668682990021291535487251083121742295454982643172378013843652626255501369558154821673239378473303556336153973254011435480621397842877106211825690795E-42
G2H_NONSYMMETRIC_D08_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,8,12,7e-15,160,3.258395441031478299604575690911114585216197199532548668934862058108074927688781981436868867150959961097789607693870971862205051119571182917322396323389622792310E-157,3.783903374940793045272912837412240452430158995090325745516129463481592034093941376825540802046610068548169144652331032907341298095811070715867380815715797448956E-160,3.258395441031478299604575690911114585216197199532548668934862058108074927688781981436868867150959961097789607693870971862205051119571182917322396323389622792310E-157
G2H_NONSYMMETRIC_D08_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,8,12,7e-15,160,6.350549330448461031400774070684724828765052107360922530023757944595426043669625021938600062655303434678482710846730035626050166545870791528945508158093796840110E-157,5.122542895629416116632844529562444779013987883681159763715369080921736508041549583623283119793077538924209031992472916853487499609489248063488108056542571950919E-160,6.350549330448461031400774070684724828765052107360922530023757944595426043669625021938600062655303434678482710846730035626050166545870791528945508158093796840110E-157
G2H_NONSYMMETRIC_D08_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,8,14,7e-9,160,6.324186933609957090966807950168313033425365648905648304078396704838060264914717912112902312023017192422970523924595372581186102841272296845154761041389176155753E-160,1.861927477009078815822145844230470224250421513234967303208151601529059343432991746832081725743442578725999287855484193394573781829858145433371687921610403702388E-160,6.324186933609957090966807950168313033425365648905648304078396704838060264914717912112902312023017192422970523924595372581186102841272296845154761041389176155753E-160
G2H_NONSYMMETRIC_D08_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,8,14,7e-9,160,6.766960845642124173101295460249204084530492697486245900035023918158747748342566257581561245899698255255091750307815976526954020209851918155066764242144180411733E-160,1.490064882463093166258183295528065241561653476207534256585948968182298829802460463293475483778793442711563550187081098774833375078481103150688918010851058338323E-159,1.490064882463093166258183295528065241561653476207534256585948968182298829802460463293475483778793442711563550187081098774833375078481103150688918010851058338323E-159
G2H_NONSYMMETRIC_D16_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,16,0,7e-17,160,1.262760838962427816310117631789378820219940872342140038812990582384525631363385243514443034257550931986171780465175775965569673940271566333076496732495004539274E-143,2.008699759086316577539858671681547785991048761795311056031074800190628916845436164636500081939944636300486941604266705631910862648573016172552792942194586502805E-151,1.262760838962427816310117631789378820219940872342140038812990582384525631363385243514443034257550931986171780465175775965569673940271566333076496732495004539274E-143
G2H_NONSYMMETRIC_D16_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,16,0,7e-17,160,6.829711793314917724562062746018309119705124258505793378978324809560121816586619145262317353883546002800222828794524898815374843726112649190733076756941639454452E-42,7.329961288072683835274353203842519692864624537934179763562948236568955930169864290025269126772560517056954210125248866406457559995820000639910827521310337454855E-160,6.829711793314917724562062746018309119705124258505793378978324809560121816586619145262317353883546002800222828794524898815374843726112649190733076756941639454452E-42
