system_id,lane,family,dimension,condition_exponent,epsilon,decimal_digits,delta_normalized_difference,U_response_normalized_difference,maximum_normalized_difference
G2H_NONSYMMETRIC_D02_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,2,0,7e-17,160,4.6645051904547056868242113E-161,6.62965122769083735E-182,4.6645051904547056868242113E-161
G2H_NONSYMMETRIC_D02_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,2,0,7e-17,160,4.353859131289390251777722230681778840231796060393858640513725544671667116983870038408213823961443257785789637508108543014689609299059811695104162057737061048644E-183,2.7304649049E-176,2.7304649049E-176
G2H_NONSYMMETRIC_D02_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,2,12,7e-15,160,5.06303825301107E-161,1.4681567438E-166,5.06303825301107E-161
G2H_NONSYMMETRIC_D02_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,2,12,7e-15,160,2.57388907488881E-161,3.0756072801E-164,2.57388907488881E-161
G2H_NONSYMMETRIC_D02_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,2,14,7e-9,160,3.472212275E-161,6.303097603E-163,3.472212275E-161
G2H_NONSYMMETRIC_D02_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,2,14,7e-9,160,3.128232912E-161,1.2258408465E-162,3.128232912E-161
G2H_NONSYMMETRIC_D04_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,4,0,7e-17,160,9.5645522736128724000283272E-161,1.04630623294381282929E-181,9.5645522736128724000283272E-161
G2H_NONSYMMETRIC_D04_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,4,0,7e-17,160,5.895360607502660854434159020463705943124675206100873456479395940217581690834915916871662502174819113920758401058276702838809443942780988268235635651152074555056E-182,2.72446152E-177,2.72446152E-177
G2H_NONSYMMETRIC_D04_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,4,12,7e-15,160,1.962838482105E-160,2.6339663109E-166,1.962838482105E-160
G2H_NONSYMMETRIC_D04_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,4,12,7e-15,160,7.332267088996E-160,1.5036529843E-164,7.332267088996E-160
G2H_NONSYMMETRIC_D04_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,4,14,7e-9,160,5.5721783662E-160,1.7525469564E-163,5.5721783662E-160
G2H_NONSYMMETRIC_D04_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,4,14,7e-9,160,3.3148013577E-160,1.2322534982E-162,3.3148013577E-160
G2H_NONSYMMETRIC_D08_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,8,0,7e-17,160,5.99553803787129075662265991E-160,9.980329808780780449E-182,5.99553803787129075662265991E-160
G2H_NONSYMMETRIC_D08_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,8,0,7e-17,160,4.153816954986904753723070128190994407031956781943330000273905722348914844041367901508376972590241810806442546055033285632933600223157063590193970828057250135599E-182,7.80118633E-177,7.80118633E-177
G2H_NONSYMMETRIC_D08_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,8,12,7e-15,160,2.83255187660609E-160,5.373498844E-167,2.83255187660609E-160
G2H_NONSYMMETRIC_D08_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,8,12,7e-15,160,8.49123535408552E-160,5.456433921E-165,8.49123535408552E-160
G2H_NONSYMMETRIC_D08_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,8,14,7e-9,160,4.49867317929E-160,4.268321959E-164,4.49867317929E-160
G2H_NONSYMMETRIC_D08_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,8,14,7e-9,160,4.4723921512E-160,1.6112338247E-161,4.4723921512E-160
G2H_NONSYMMETRIC_D16_C00_E7eM17,DECIMAL_SOURCE,NONSYMMETRIC,16,0,7e-17,160,1.309601090400895068462250346E-159,3.181708375480833815E-181,1.309601090400895068462250346E-159
G2H_NONSYMMETRIC_D16_C00_E7eM17,BINARY64_OPERAND,NONSYMMETRIC,16,0,7e-17,160,3.424251370824898819641397754401074709479601766417872606458092252701230083898124813991324926412918886528823741932052935181823449475747041089933273402166175040961E-182,4.3017113666E-175,4.3017113666E-175
G2H_NONSYMMETRIC_D16_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,16,12,7e-15,160,6.57474802524942E-160,3.9377160493E-166,6.57474802524942E-160
G2H_NONSYMMETRIC_D16_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,16,12,7e-15,160,9.623219242407023E-160,1.56789874098E-163,9.623219242407023E-160
G2H_NONSYMMETRIC_D16_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,16,14,7e-9,160,4.6464887907E-160,2.4429255926E-161,4.6464887907E-160
G2H_NONSYMMETRIC_D16_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,16,14,7e-9,160,7.24058966998E-160,8.763607518E-163,7.24058966998E-160
G2H_SADDLE_POINT_LIKE_D02_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,2,0,7e-17,160,5.3196653855722918094980609E-161,1.2556466421876843639E-182,5.3196653855722918094980609E-161
G2H_SADDLE_POINT_LIKE_D02_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,2,0,7e-17,160,2.3513204129027494227565551E-161,1.7395956255E-176,2.3513204129027494227565551E-161
G2H_SADDLE_POINT_LIKE_D02_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,2,12,7e-15,160,2.7086133411788827E-156,7.584862474E-167,2.7086133411788827E-156
G2H_SADDLE_POINT_LIKE_D02_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,2,12,7e-15,160,3.0735928627416429E-156,2.9112312259E-164,3.0735928627416429E-156
G2H_SADDLE_POINT_LIKE_D02_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,2,14,7e-9,160,5.0000039185318285E-154,4.4093465252E-163,5.0000039185318285E-154
G2H_SADDLE_POINT_LIKE_D02_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,2,14,7e-9,160,8.746017100729729E-154,4.450818261E-163,8.746017100729729E-154
G2H_SADDLE_POINT_LIKE_D04_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,4,0,7e-17,160,6.63201208657055169180692231E-160,1.405126597888686425E-181,6.63201208657055169180692231E-160
G2H_SADDLE_POINT_LIKE_D04_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,4,0,7e-17,160,4.8918192050193402664977971E-161,1.000715866E-176,4.8918192050193402664977971E-161
G2H_SADDLE_POINT_LIKE_D04_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,4,12,7e-15,160,4.024391422377359803E-154,3.6767592996E-165,4.024391422377359803E-154
G2H_SADDLE_POINT_LIKE_D04_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,4,12,7e-15,160,2.399124227634535307E-154,1.0206139616E-163,2.399124227634535307E-154
