system_id,family,dimension,condition_exponent,epsilon,seed,J_binary_hex,DeltaJ_binary_hex,A_guarded_binary_hex,b_binary_hex,z_tilde_hex,zg_tilde_hex,delta_direct_hex,forcing_tilde_hex,delta_response_hex,finite
SPD_D02_C02_E1eM16,SPD,2,2,1e-16,3342380807748623415,"[[""0x1.0000000000000p+0"",""0x1.0624dd2f1a9fcp-10""],[""0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1a2ap-7""]]","[[""0x1.cd2b297d889bcp-54"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.cd2b297d889bcp-54""]]","[[""0x1.0000000000000p+0"",""0x1.0624dd2f1a9fcp-10""],[""0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1a64p-7""]]","[""-0x1.cc7e28240b780p-1"",""0x1.4e45de30a25f4p-8""]","[""-0x1.ccccccccccccdp-1"",""0x1.3333333333333p-1""]","[""-0x1.ccccccccccccdp-1"",""0x1.33333333332fdp-1""]","[""0x0.0p+0"",""-0x1.b000000000000p-48""]","[""0x1.9f0d3ef0faf29p-54"",""-0x1.14b37f4b51f71p-54""]","[""0x1.bac36bc0fc000p-54"",""-0x1.b0fe7c321071ap-48""]",True
SPD_D02_C02_E1eM15,SPD,2,2,1e-15,9477031891702027615,"[[""0x1.0000000000000p+0"",""-0x1.0624dd2f1a9fcp-10""],[""-0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1a2ap-7""]]","[[""0x1.203af9ee75616p-50"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.203af9ee75616p-50""]]","[[""0x1.0000000000005p+0"",""-0x1.0624dd2f1a9fcp-10""],[""-0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1c6ap-7""]]","[""-0x1.cd42c3c9eecc0p-1"",""0x1.446ec4d9b9446p-7""]","[""-0x1.ccccccccccccdp-1"",""0x1.ccccccccccccep-1""]","[""-0x1.cccccccccccc5p-1"",""0x1.cccccccccc9a4p-1""]","[""0x1.0000000000000p-50"",""-0x1.9500000000000p-44""]","[""0x1.036847569cd7ap-50"",""-0x1.036847569cd7bp-50""]","[""0x1.d2fc2ee9b1685p-51"",""-0x1.94eb2c2798a5cp-44""]",True
SPD_D02_C02_E1eM14,SPD,2,2,1e-14,17708006654096734107,"[[""0x1.0000000000000p+0"",""0x1.0624dd2f1a9fcp-10""],[""0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1a2ap-7""]]","[[""0x1.6849b86a12b9bp-47"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.6849b86a12b9bp-47""]]","[[""0x1.000000000002dp+0"",""0x1.0624dd2f1a9fcp-10""],[""0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b30afp-7""]]","[""0x1.9ce075f6fd220p-4"",""0x1.09726f8924d75p-7""]","[""0x1.999999999999ap-4"",""0x1.999999999999ap-1""]","[""0x1.999999999998bp-4"",""0x1.9999999997d73p-1""]","[""-0x1.e000000000000p-53"",""-0x1.c270000000000p-41""]","[""-0x1.203af9ee75616p-50"",""-0x1.203af9ee75616p-47""]","[""-0x1.cd6631102ff07p-53"",""-0x1.c24dbd2b498ccp-41""]",True
SPD_D02_C02_E1eM12,SPD,2,2,1e-12,345687911206730511,"[[""0x1.0000000000000p+0"",""-0x1.0624dd2f1a9fcp-10""],[""-0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1a2ap-7""]]","[[""0x1.19799812dea11p-40"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.19799812dea11p-40""]]","[[""0x1.0000000001198p+0"",""-0x1.0624dd2f1a9fcp-10""],[""-0x1.0624dd2f1a9fcp-10"",""0x1.47b677f73e5f7p-7""]]","[""0x1.32ca57a786c22p-1"",""0x1.e504d1f6d8391p-8""]","[""0x1.3333333333333p-1"",""0x1.999999999999ap-1""]","[""0x1.3333333331b45p-1"",""0x1.99999998e98bdp-1""]","[""-0x1.7ee0000000000p-41"",""-0x1.601ba00000000p-34""]","[""-0x1.51c51ce3718e1p-41"",""-0x1.c25c268497682p-41""]","[""-0x1.7ed6f98c993f5p-41"",""-0x1.601b8be992f1fp-34""]",True
SPD_D02_C02_E1eM8,SPD,2,2,1e-8,5092521022903664587,"[[""0x1.0000000000000p+0"",""0x1.0624dd2f1a9fcp-10""],[""0x1.0624dd2f1a9fcp-10"",""0x1.47b677f6b1a2ap-7""]]","[[""0x1.5798ee2308c3ap-27"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.5798ee2308c3ap-27""]]","[[""0x1.0000002af31dcp+0"",""0x1.0624dd2f1a9fcp-10""],[""0x1.0624dd2f1a9fcp-10"",""0x1.47b68d704084dp-7""]]","[""-0x1.97f62b6ae7d56p-3"",""0x1.ff3bb4e1f47c4p-8""]","[""-0x1.9999999999999p-3"",""0x1.999999999999ap-1""]","[""-0x1.9999993962c9ap-3"",""0x1.99997ebff0f36p-1""]","[""0x1.80db3fc000000p-29"",""-0x1.ad9a8a6400000p-21""]","[""0x1.12e0be826d694p-29"",""-0x1.12e0be826d695p-27""]","[""0x1.80db3fe4b119ep-29"",""-0x1.ad9a8a64109c4p-21""]",True
SPD_D02_C04_E1eM16,SPD,2,4,1e-16,13700126623469525899,"[[""0x1.0000000000000p+0"",""0x1.a36e2eb1c432dp-14""],[""0x1.a36e2eb1c432dp-14"",""0x1.a378eb79354b1p-14""]]","[[""0x1.cd2b297d889bcp-54"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.cd2b297d889bcp-54""]]","[[""0x1.0000000000000p+0"",""0x1.a36e2eb1c432dp-14""],[""0x1.a36e2eb1c432dp-14"",""0x1.a378eb7937184p-14""]]","[""-0x1.0007dd4413554p-1"",""-0x1.cd660b0802134p-14""]","[""-0x1.fffffffffffffp-2"",""-0x1.3333333333334p-1""]","[""-0x1.0000000000000p-1"",""-0x1.3333333331e17p-1""]","[""-0x1.0000000000000p-54"",""0x1.51d0000000000p-41""]","[""0x1.cd2b297d889bbp-55"",""0x1.14b37f4b51f72p-54""]","[""-0x1.70c01b224aa3cp-57"",""0x1.51bde836ca24ap-41""]",True
SPD_D02_C04_E1eM15,SPD,2,4,1e-15,6900698370647266413,"[[""0x1.0000000000000p+0"",""-0x1.a36e2eb1c432dp-13""],[""-0x1.a36e2eb1c432dp-13"",""0x1.a39921cf8893ep-14""]]","[[""0x1.203af9ee75616p-50"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.203af9ee75616p-50""]]","[[""0x1.0000000000005p+0"",""-0x1.a36e2eb1c432dp-13""],[""-0x1.a36e2eb1c432dp-13"",""0x1.a39921cf9a979p-14""]]","[""0x1.332617c1bda51p-1"",""-0x1.258473ed8d8cap-14""]","[""0x1.3333333333333p-1"",""0x1.0000000000000p-1""]","[""0x1.3333333333324p-1"",""0x1.ffffffffea012p-2""]","[""-0x1.e000000000000p-50"",""-0x1.5fee000000000p-38""]","[""-0x1.59e05f1e2674dp-51"",""-0x1.203af9ee75616p-51""]","[""-0x1.cd3cdef645a71p-50"",""-0x1.5fed9c1d790e5p-38""]",True
SPD_D02_C04_E1eM14,SPD,2,4,1e-14,6447548273440557093,"[[""0x1.0000000000000p+0"",""-0x1.a36e2eb1c432dp-14""],[""-0x1.a36e2eb1c432dp-14"",""0x1.a378eb79354b1p-14""]]","[[""0x1.6849b86a12b9bp-47"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.6849b86a12b9bp-47""]]","[[""0x1.000000000002dp+0"",""-0x1.a36e2eb1c432dp-14""],[""-0x1.a36e2eb1c432dp-14"",""0x1.a378eb79e96ffp-14""]]","[""-0x1.33458cd20afa3p-2"",""0x1.a375b2d6f9c3dp-14""]","[""-0x1.3333333333333p-2"",""0x1.6666666666667p-1""]","[""-0x1.333333333337bp-2"",""0x1.66666665cc799p-1""]","[""-0x1.2000000000000p-48"",""-0x1.33d9c00000000p-34""]","[""0x1.b05876e5b0120p-49"",""-0x1.f86735614d6a7p-48""]","[""-0x1.20357137ddcabp-48"",""-0x1.33d99da3317c6p-34""]",True
SPD_D02_C04_E1eM12,SPD,2,4,1e-12,15899163008075185731,"[[""0x1.0000000000000p+0"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.a36e2eb1c432dp-14""]]","[[""0x1.19799812dea11p-40"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.19799812dea11p-40""]]","[[""0x1.0000000001198p+0"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.a36e2ef82298dp-14""]]","[""-0x1.999999999999ap-2"",""0x1.f75104d551d69p-16""]","[""-0x1.999999999999ap-2"",""0x1.3333333333333p-2""]","[""-0x1.9999999997d74p-2"",""0x1.333332ffa90f8p-2""]","[""0x1.c260000000000p-42"",""-0x1.9c511d8000000p-29""]","[""0x1.c25c268497682p-42"",""-0x1.51c51ce3718e1p-42""]","[""0x1.c25c26849578ep-42"",""-0x1.9c511d7e773e2p-29""]",True
SPD_D02_C04_E1eM8,SPD,2,4,1e-8,2620329747813844624,"[[""0x1.0000000000000p+0"",""0x1.a36e2eb1c432dp-14""],[""0x1.a36e2eb1c432dp-14"",""0x1.a378eb79354b1p-14""]]","[[""0x1.5798ee2308c3ap-27"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.5798ee2308c3ap-27""]]","[[""0x1.0000002af31dcp+0"",""0x1.a36e2eb1c432dp-14""],[""0x1.a36e2eb1c432dp-14"",""0x1.a383a840a6635p-14""]]","[""0x1.99b90ea9e6eebp-4"",""0x1.4f91c9d2ad9dap-15""]","[""0x1.9999999999999p-4"",""0x1.3333333333334p-2""]","[""0x1.99999a2302ef8p-4"",""0x1.332b5633d64b5p-2""]","[""0x1.12d2abe000000p-29"",""-0x1.f73fd739fc000p-16""]","[""-0x1.12e0be826d694p-30"",""-0x1.9c511dc3a41e0p-29""]","[""0x1.12d2abcf56013p-29"",""-0x1.f73fd739fc66ep-16""]",True
